CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,ARMS,27,1,1
2,MV,196,1,1
3,IPC,302,1,1
3,IPC,304,2,2
4,NDPS,20,1,1
5,IPC,354,1,1
5,DV,12,2,2
5,IPC,363,3,3
6,BNS,309,1,1
6,BNS,318,2,2
6,BNS,303,3,3
7,ARMS,25,1,1
7,IPC,506,2,2
7,GAMBLING,4,3,3
8,POCSO,4,1,1
8,IPC,363,2,2
9,ARMS,27,1,1
9,GAMBLING,4,2,2
9,ARMS,25,3,3
10,EXCISE,32,1,1
11,EXCISE,32,1,1
11,NDPS,20,2,2
11,NDPS,8,3,3
12,IT_ACT,67,1,1
12,IT_ACT,66C,2,2
13,IPC,325,1,1
14,IT_ACT,66C,1,1
15,IT_ACT,67,1,1
15,IT_ACT,66,2,2
16,MV,177,1,1
17,MV,184,1,1
18,IT_ACT,66,1,1
18,IT_ACT,66C,2,2
18,IT_ACT,67,3,3
19,MV,185,1,1
20,IPC,376,1,1
21,GAMBLING,4,1,1
21,ARMS,27,2,2
21,ARMS,25,3,3
22,IPC,363,1,1
22,IPC,498A,2,2
22,IPC,376,3,3
23,IPC,406,1,1
23,IPC,420,2,2
23,IPC,380,3,3
24,IPC,379,1,1
25,IPC,506,1,1
25,GAMBLING,4,2,2
25,ARMS,25,3,3
26,EXCISE,32,1,1
27,IPC,324,1,1
27,IPC,302,2,2
28,IPC,420,1,1
28,BNS,303,2,2
29,ARMS,25,1,1
29,IPC,506,2,2
30,BNS,303,1,1
30,IPC,379,2,2
30,BNS,309,3,3
31,POCSO,8,1,1
31,IPC,363,2,2
32,IT_ACT,66C,1,1
33,MV,177,1,1
34,IT_ACT,66,1,1
34,IT_ACT,67,2,2
35,IT_ACT,66C,1,1
36,IPC,406,1,1
36,PREVENTION_CORRUPTION,7,2,2
36,IPC,420,3,3
37,IT_ACT,66C,1,1
37,IT_ACT,67,2,2
38,IT_ACT,66C,1,1
38,IT_ACT,66,2,2
38,IT_ACT,67,3,3
39,MV,196,1,1
39,MV,185,2,2
39,MV,177,3,3
40,IPC,325,1,1
40,BNS,109,2,2
41,IPC,363,1,1
41,DV,12,2,2
42,GAMBLING,4,1,1
42,ARMS,27,2,2
42,ARMS,25,3,3
43,POCSO,8,1,1
43,POCSO,12,2,2
44,IPC,395,1,1
44,IPC,420,2,2
44,IPC,406,3,3
45,IT_ACT,66C,1,1
45,IT_ACT,66,2,2
45,IT_ACT,67,3,3
46,IPC,420,1,1
47,IPC,325,1,1
47,IPC,304,2,2
48,PREVENTION_CORRUPTION,7,1,1
48,IPC,420,2,2
49,IPC,406,1,1
50,IT_ACT,66,1,1
51,ARMS,25,1,1
51,GAMBLING,4,2,2
52,MV,177,1,1
53,NDPS,8,1,1
53,NDPS,22,2,2
53,NDPS,27A,3,3
54,IT_ACT,67,1,1
55,IPC,406,1,1
55,PREVENTION_CORRUPTION,7,2,2
56,IT_ACT,67,1,1
56,IT_ACT,66,2,2
57,MV,185,1,1
57,MV,184,2,2
57,MV,196,3,3
58,GAMBLING,4,1,1
58,ARMS,25,2,2
58,IPC,506,3,3
59,IPC,363,1,1
59,POCSO,4,2,2
59,POCSO,6,3,3
60,IPC,325,1,1
60,IPC,307,2,2
61,NDPS,8,1,1
61,NDPS,21,2,2
61,NDPS,27A,3,3
62,IPC,379,1,1
63,MV,177,1,1
64,ARMS,25,1,1
65,GAMBLING,4,1,1
65,ARMS,25,2,2
65,IPC,506,3,3
66,POCSO,8,1,1
67,POCSO,8,1,1
68,PREVENTION_CORRUPTION,7,1,1
68,IPC,420,2,2
68,IPC,406,3,3
69,IPC,498A,1,1
69,IPC,354,2,2
69,DV,12,3,3
70,IPC,307,1,1
71,NDPS,22,1,1
71,NDPS,21,2,2
72,BNS,318,1,1
72,IPC,395,2,2
73,IPC,392,1,1
74,DV,12,1,1
74,IPC,363,2,2
74,IPC,376,3,3
75,MV,185,1,1
75,MV,184,2,2
76,NDPS,22,1,1
77,POCSO,8,1,1
77,IPC,363,2,2
77,POCSO,12,3,3
78,POCSO,6,1,1
79,NDPS,20,1,1
79,NDPS,21,2,2
79,EXCISE,32,3,3
80,IPC,325,1,1
81,POCSO,8,1,1
81,POCSO,6,2,2
81,IPC,363,3,3
82,MV,177,1,1
83,IPC,506,1,1
83,ARMS,27,2,2
84,BNS,303,1,1
85,DV,12,1,1
86,DV,12,1,1
87,PREVENTION_CORRUPTION,7,1,1
88,EXCISE,32,1,1
88,NDPS,20,2,2
88,NDPS,22,3,3
89,PREVENTION_CORRUPTION,13,1,1
90,POCSO,12,1,1
90,POCSO,4,2,2
90,IPC,363,3,3
91,BNS,303,1,1
91,BNS,318,2,2
91,IPC,406,3,3
92,NDPS,22,1,1
93,IT_ACT,67,1,1
93,IT_ACT,66,2,2
94,ARMS,25,1,1
94,GAMBLING,4,2,2
95,MV,185,1,1
96,POCSO,12,1,1
97,MV,185,1,1
98,IT_ACT,66,1,1
99,IPC,307,1,1
100,NDPS,22,1,1
100,NDPS,21,2,2
100,NDPS,8,3,3
101,PREVENTION_CORRUPTION,13,1,1
101,PREVENTION_CORRUPTION,7,2,2
102,IPC,498A,1,1
103,ARMS,25,1,1
104,IT_ACT,67,1,1
105,IPC,354,1,1
105,DV,12,2,2
105,IPC,498A,3,3
106,MV,196,1,1
106,MV,185,2,2
106,MV,177,3,3
107,POCSO,12,1,1
107,POCSO,6,2,2
108,NDPS,21,1,1
109,MV,185,1,1
109,MV,177,2,2
109,MV,184,3,3
110,ARMS,27,1,1
110,GAMBLING,4,2,2
110,ARMS,25,3,3
111,NDPS,20,1,1
111,NDPS,22,2,2
111,NDPS,27A,3,3
112,IPC,406,1,1
112,PREVENTION_CORRUPTION,7,2,2
112,IPC,420,3,3
113,PREVENTION_CORRUPTION,13,1,1
113,PREVENTION_CORRUPTION,7,2,2
114,IPC,406,1,1
115,PREVENTION_CORRUPTION,7,1,1
116,IPC,304,1,1
117,IPC,379,1,1
117,BNS,318,2,2
117,IPC,392,3,3
118,IPC,406,1,1
118,BNS,309,2,2
119,IPC,354,1,1
120,IPC,395,1,1
120,BNS,309,2,2
120,IPC,392,3,3
121,IT_ACT,67,1,1
121,IT_ACT,66C,2,2
121,IT_ACT,66,3,3
122,IPC,392,1,1
122,BNS,318,2,2
122,IPC,420,3,3
123,IPC,420,1,1
124,MV,184,1,1
124,MV,185,2,2
124,MV,177,3,3
125,BNS,109,1,1
125,IPC,325,2,2
126,PREVENTION_CORRUPTION,7,1,1
127,PREVENTION_CORRUPTION,7,1,1
127,PREVENTION_CORRUPTION,13,2,2
128,NDPS,8,1,1
128,NDPS,20,2,2
128,NDPS,27A,3,3
129,BNS,109,1,1
129,IPC,324,2,2
130,PREVENTION_CORRUPTION,7,1,1
130,PREVENTION_CORRUPTION,13,2,2
131,POCSO,12,1,1
131,POCSO,6,2,2
131,POCSO,8,3,3
132,IT_ACT,66,1,1
133,IT_ACT,66C,1,1
133,IT_ACT,66,2,2
133,IT_ACT,67,3,3
134,IPC,376,1,1
134,DV,12,2,2
134,IPC,498A,3,3
135,IPC,406,1,1
135,PREVENTION_CORRUPTION,7,2,2
136,IPC,354,1,1
137,GAMBLING,4,1,1
137,IPC,506,2,2
137,ARMS,27,3,3
138,DV,12,1,1
138,IPC,498A,2,2
139,BNS,318,1,1
139,BNS,303,2,2
140,MV,196,1,1
140,MV,177,2,2
140,MV,185,3,3
141,IPC,363,1,1
142,PREVENTION_CORRUPTION,13,1,1
143,IPC,363,1,1
144,IT_ACT,66C,1,1
145,IPC,379,1,1
145,IPC,406,2,2
145,IPC,380,3,3
146,PREVENTION_CORRUPTION,7,1,1
147,IPC,302,1,1
147,BNS,103,2,2
148,PREVENTION_CORRUPTION,13,1,1
148,PREVENTION_CORRUPTION,7,2,2
149,NDPS,20,1,1
149,NDPS,27A,2,2
150,BNS,109,1,1
151,IT_ACT,67,1,1
151,IT_ACT,66,2,2
152,POCSO,12,1,1
152,POCSO,4,2,2
153,DV,12,1,1
153,IPC,376,2,2
154,IPC,420,1,1
154,PREVENTION_CORRUPTION,7,2,2
155,DV,12,1,1
156,IT_ACT,66,1,1
156,IT_ACT,66C,2,2
157,PREVENTION_CORRUPTION,13,1,1
157,PREVENTION_CORRUPTION,7,2,2
158,IPC,406,1,1
159,PREVENTION_CORRUPTION,7,1,1
159,IPC,420,2,2
159,IPC,406,3,3
160,NDPS,21,1,1
160,NDPS,27A,2,2
161,IPC,354,1,1
162,IPC,302,1,1
162,IPC,304,2,2
163,IPC,376,1,1
163,IPC,498A,2,2
163,DV,12,3,3
164,POCSO,12,1,1
164,POCSO,4,2,2
165,GAMBLING,4,1,1
165,ARMS,25,2,2
165,ARMS,27,3,3
166,IPC,392,1,1
166,IPC,420,2,2
167,IPC,354,1,1
167,IPC,376,2,2
168,IT_ACT,66C,1,1
168,IT_ACT,66,2,2
169,ARMS,27,1,1
169,ARMS,25,2,2
170,IT_ACT,66,1,1
