ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateID,ArrestSurrenderDistrictID,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2024-07-14,1,17,120,1045,33,1,true,true
2,2,1,2025-08-26,1,26,183,757,51,3,true,false
3,2,1,2025-09-22,1,26,178,825,51,4,true,false
4,3,1,2026-06-09,1,18,126,1181,35,5,true,true
5,3,1,2026-06-30,1,18,126,863,35,6,true,false
6,4,1,2024-09-19,1,29,201,391,58,7,true,false
7,4,2,2024-06-17,1,29,201,1106,58,8,true,false
8,4,1,2024-09-18,1,29,203,561,57,9,true,false
9,4,1,2024-09-22,1,29,203,753,58,10,true,false
10,5,1,2026-05-29,1,4,27,978,8,11,true,false
11,5,1,2026-06-30,1,4,25,164,7,12,true,false
12,6,2,2024-05-27,1,31,213,132,61,13,true,false
13,7,1,2024-05-15,1,7,48,396,14,15,true,false
14,7,1,2024-04-02,1,7,46,758,13,16,true,false
15,8,2,2024-08-22,1,17,116,486,34,18,true,false
16,8,2,2024-06-19,1,17,117,846,34,19,true,false
17,8,2,2024-09-18,1,17,119,320,33,21,true,false
18,9,1,2026-06-30,1,31,217,252,62,22,true,false
19,9,1,2026-06-30,1,31,214,8,61,24,true,false
20,9,1,2026-06-30,1,31,217,112,61,25,true,false
21,10,1,2025-05-25,1,8,56,684,16,26,true,false
22,13,1,2023-03-19,1,7,50,541,13,34,true,false
23,13,1,2023-04-10,1,7,46,1010,14,35,true,false
24,13,1,2023-08-24,1,7,46,1169,14,36,true,false
25,14,2,2025-09-25,1,10,68,1136,19,38,true,false
26,17,1,2026-03-12,1,1,7,49,2,45,true,false
27,17,1,2026-06-30,1,1,3,32,2,46,true,false
28,18,2,2024-07-11,1,6,42,494,12,48,true,false
29,18,1,2024-06-12,1,6,39,733,12,49,true,false
30,18,1,2024-05-28,1,6,43,756,11,50,true,false
31,20,1,2025-12-10,1,21,144,725,41,52,true,false
32,21,1,2023-06-16,1,17,118,17,34,54,true,false
33,22,2,2025-06-19,1,5,36,953,9,57,true,false
34,23,1,2026-04-28,1,28,194,310,56,58,true,false
35,23,1,2026-02-19,1,28,192,229,56,59,true,false
36,23,1,2026-04-01,1,28,197,494,55,60,true,false
37,23,2,2026-05-06,1,28,196,1003,56,61,true,false
38,24,1,2026-06-30,1,9,59,103,18,62,true,false
39,24,1,2026-05-08,1,9,62,395,18,64,true,false
40,26,2,2025-05-08,1,16,113,1095,31,70,true,false
41,27,1,2025-07-23,1,2,15,252,3,72,true,true
42,27,1,2025-09-16,1,2,11,1071,4,74,true,false
43,29,1,2023-04-17,1,29,201,848,11,77,true,false
44,29,1,2023-04-09,1,6,40,272,11,79,true,false
45,30,2,2023-05-17,1,25,173,383,9,80,true,false
46,31,1,2023-08-27,1,25,176,743,50,82,true,false
47,32,1,2024-07-14,1,5,35,256,9,84,true,false
48,32,2,2024-04-22,1,5,36,338,9,85,true,false
49,32,1,2024-08-01,1,27,189,1039,9,87,true,false
50,33,2,2024-04-18,1,22,153,518,45,90,true,false
51,35,1,2024-08-31,1,30,207,634,59,92,true,false
52,35,1,2024-06-25,1,30,209,513,59,93,true,false
53,36,2,2024-11-16,1,13,91,1022,25,95,true,false
54,37,1,2024-10-18,1,9,64,81,18,97,true,false
55,38,1,2025-10-14,1,6,43,25,11,98,true,false
56,38,1,2025-11-28,1,27,190,466,12,99,true,false
57,38,1,2025-11-24,1,6,40,11,12,100,true,false
58,38,1,2025-06-16,1,6,39,670,12,101,true,false
59,39,1,2026-06-30,1,20,141,863,40,102,true,false
60,41,1,2023-07-27,1,9,60,828,17,104,true,true
61,41,1,2023-04-06,1,9,60,696,18,105,true,false
62,45,1,2024-08-05,1,28,195,468,56,115,true,false
63,46,1,2023-04-28,1,30,208,527,59,118,true,false
64,47,1,2025-10-30,1,8,52,748,15,119,true,false
65,47,1,2025-09-03,1,8,54,901,16,121,true,false
66,48,1,2025-02-21,1,21,143,583,41,123,true,false
67,48,1,2025-05-30,1,21,148,393,41,125,true,false
68,49,1,2026-06-30,1,31,218,1042,62,127,true,false
69,50,1,2024-10-12,1,11,74,566,22,130,true,false
70,50,1,2024-10-20,1,11,76,859,22,131,true,false
71,50,1,2024-06-23,1,11,78,249,21,132,true,false
72,52,1,2024-06-18,1,19,129,711,37,135,true,false
73,52,2,2024-05-08,1,19,133,86,38,136,true,false
74,53,1,2023-08-29,1,14,99,223,28,137,true,false
75,53,1,2023-05-18,1,14,99,1063,27,139,true,false
76,53,1,2023-05-12,1,14,95,196,27,140,true,false
77,54,2,2024-09-10,1,21,145,786,41,141,true,false
78,54,1,2024-08-28,1,21,145,482,42,142,true,false
79,54,1,2024-09-03,1,21,146,635,42,143,true,false
80,55,1,2026-02-17,1,5,34,510,9,147,true,false
81,56,1,2026-06-30,1,29,201,7,58,149,true,false
82,56,2,2026-06-30,1,29,204,433,58,150,true,false
83,56,2,2026-06-30,1,29,200,857,57,151,true,false
84,58,1,2023-04-23,1,11,73,905,22,154,true,false
85,58,1,2023-09-03,1,11,78,1197,22,155,true,false
86,58,1,2023-07-26,1,11,74,625,21,156,true,false
87,59,1,2024-05-24,1,12,80,6,24,158,true,false
88,59,1,2024-08-24,1,12,81,615,23,159,true,false
89,60,1,2025-04-13,1,13,89,290,25,160,true,false
90,60,1,2025-06-03,1,13,92,634,25,162,true,false
91,61,1,2026-06-30,1,8,55,512,16,164,true,false
92,61,2,2026-05-14,1,8,54,57,16,165,true,false
93,62,1,2023-01-18,1,6,43,642,12,168,true,false
94,63,2,2023-02-26,1,23,160,159,45,169,true,false
95,63,1,2023-08-01,1,23,160,55,46,170,true,false
96,63,1,2023-07-14,1,23,160,741,45,171,true,false
97,64,1,2024-05-08,1,8,53,1023,16,174,true,false
98,64,2,2024-09-11,1,8,52,511,16,175,true,false
99,65,1,2024-06-25,1,9,62,229,18,178,true,false
100,65,2,2024-07-01,1,9,59,965,18,179,true,false
101,66,1,2024-05-28,1,8,53,1054,16,180,true,false
102,66,1,2024-08-04,1,8,55,726,16,181,true,false
103,66,1,2024-08-07,1,8,53,929,15,182,true,false
104,67,1,2025-05-26,1,14,99,29,28,183,true,true
105,67,1,2025-06-24,1,14,95,466,28,184,true,false
106,68,1,2026-06-30,1,31,215,650,62,188,true,false
107,69,2,2026-03-30,1,16,110,349,32,189,true,false
108,69,1,2026-04-20,1,16,109,1031,32,191,true,false
109,71,1,2023-04-11,1,6,41,714,11,194,true,false
110,71,1,2023-03-31,1,6,43,347,11,195,true,false
111,71,1,2023-08-12,1,6,40,262,11,196,true,false
112,71,1,2023-08-27,1,6,42,774,11,197,true,false
113,72,1,2024-03-23,1,14,98,148,28,198,true,false
114,73,1,2024-09-04,1,10,66,964,20,200,true,false
115,74,1,2023-02-08,1,8,55,7,31,204,true,false
116,77,1,2024-08-31,1,23,157,1170,46,210,true,false
117,78,1,2025-06-09,1,5,32,937,10,212,true,false
118,78,1,2025-04-30,1,5,31,118,9,213,true,false
119,79,1,2026-06-30,1,2,10,441,4,216,true,false
120,80,1,2026-06-30,1,7,48,49,13,218,true,false
121,80,1,2026-05-11,1,7,46,801,14,219,true,false
122,81,1,2026-06-30,1,22,155,48,44,220,true,false
123,81,1,2026-06-30,1,22,151,755,44,221,true,false
124,81,1,2026-04-24,1,22,155,9,44,222,true,false
125,82,1,2023-03-25,1,10,68,224,20,224,true,false
126,82,1,2023-05-17,1,10,71,998,20,225,true,true
127,83,1,2025-04-15,1,28,196,118,56,227,true,false
128,85,1,2025-05-18,1,14,98,820,28,229,true,false
129,86,1,2026-06-30,1,13,87,134,25,230,true,false
130,87,2,2026-06-10,1,16,113,1154,32,231,true,false
131,88,1,2023-07-29,1,24,169,650,48,233,true,false
132,88,1,2023-08-19,1,24,164,229,47,234,true,false
133,89,2,2026-06-30,1,11,77,392,22,235,true,false
134,89,1,2026-06-30,1,11,77,242,22,237,true,false
135,90,1,2026-06-30,1,16,112,1076,32,241,true,false
136,92,1,2026-05-14,1,26,181,1067,52,244,true,false
137,92,1,2026-05-04,1,26,178,130,52,245,true,false
138,92,1,2026-03-25,1,22,152,518,52,246,true,false
139,92,1,2026-04-09,1,26,179,960,51,247,true,false
140,93,1,2024-06-20,1,21,146,11,42,248,true,false
141,94,1,2023-09-08,1,8,56,1167,15,249,true,false
142,97,1,2023-08-16,1,10,69,193,17,252,true,false
143,98,1,2026-05-30,1,5,31,838,9,253,true,true
144,98,1,2026-06-30,1,5,34,232,9,254,true,false
145,99,2,2026-06-30,1,16,112,1036,8,256,true,false
146,99,1,2026-03-01,1,4,25,133,8,257,true,false
147,99,1,2026-05-02,1,4,28,610,7,258,true,false
148,100,1,2026-02-09,1,5,33,789,9,261,true,false
149,100,2,2026-05-15,1,10,68,1071,10,262,true,false
150,102,1,2026-02-22,1,25,175,511,49,267,true,false
151,103,2,2025-06-20,1,24,168,554,48,270,true,false
152,103,1,2025-03-22,1,7,45,946,48,271,true,false
153,103,1,2025-05-10,1,30,210,351,47,272,true,false
154,105,1,2023-03-20,1,1,4,181,56,276,true,false
155,106,1,2026-02-19,1,21,148,308,42,279,true,false
156,106,1,2026-05-06,1,21,144,598,41,280,true,false
157,106,1,2026-06-29,1,21,147,465,41,281,true,false
158,108,2,2024-07-21,1,2,11,230,3,283,true,false
159,108,1,2024-07-11,1,2,11,1154,4,284,true,false
160,108,2,2024-02-19,1,2,10,28,4,285,true,false
161,109,1,2025-10-09,1,11,75,562,21,287,true,false
162,109,1,2025-07-01,1,11,75,683,21,288,true,false
163,110,1,2026-06-30,1,27,188,855,54,289,true,false
164,110,1,2026-06-30,1,27,188,1154,54,291,true,true
165,110,1,2026-05-26,1,21,148,768,53,292,true,false
166,111,1,2024-05-26,1,17,120,1185,34,293,true,false
167,111,1,2024-09-08,1,21,143,42,33,294,true,false
168,111,1,2024-06-02,1,17,120,1009,34,295,true,false
169,112,1,2025-06-01,1,10,69,411,20,296,true,false
170,113,1,2026-06-30,1,9,63,348,18,297,true,false
171,114,1,2026-04-12,1,20,138,668,39,298,true,false
172,115,1,2026-06-30,1,24,164,396,48,300,true,false
173,115,2,2026-06-30,1,24,167,415,47,302,true,false
174,116,1,2024-03-23,1,30,211,584,59,303,true,false
175,117,1,2024-06-03,1,12,85,694,24,305,true,false
176,118,1,2025-07-16,1,21,143,81,42,306,true,false
177,119,2,2025-06-13,1,1,6,541,18,308,true,false
178,119,1,2025-08-08,1,9,59,132,17,309,true,false
179,120,1,2026-02-21,1,27,187,559,53,311,true,false
180,120,1,2026-04-25,1,27,190,1161,53,312,true,false
181,120,2,2026-04-05,1,27,187,448,54,314,true,false
182,121,1,2026-05-12,1,21,147,907,41,316,true,true
183,122,1,2026-04-26,1,28,192,942,55,320,true,false
184,123,1,2024-07-04,1,2,11,415,4,321,true,false
185,123,2,2024-04-30,1,3,21,383,4,322,true,false
186,124,1,2026-04-26,1,1,7,1156,1,325,true,false
187,125,1,2023-06-29,1,4,25,583,8,327,true,false
188,127,1,2023-02-25,1,5,32,22,9,331,true,false
189,127,2,2023-08-05,1,5,36,147,9,332,true,false
190,128,1,2025-08-12,1,17,117,395,34,334,true,false
191,128,1,2025-08-14,1,17,120,936,33,335,true,false
192,129,1,2025-09-01,1,2,10,242,4,337,true,false
193,129,1,2025-12-03,1,2,15,768,4,339,true,false
194,130,1,2024-04-07,1,27,188,32,54,340,true,true
195,132,1,2026-05-28,1,29,202,482,22,344,true,false
